Semana,Vicente_Fernandez
2016-07-10,24
2016-07-17,39
2016-07-24,35
2016-07-31,25
2016-08-07,25
2016-08-14,31
2016-08-21,30
2016-08-28,55
2016-09-04,34
2016-09-11,29
2016-09-18,55
2016-09-25,37
2016-10-02,30
2016-10-09,30
2016-10-16,30
2016-10-23,20
2016-10-30,26
2016-11-06,31
2016-11-13,28
2016-11-20,23
2016-11-27,28
2016-12-04,30
2016-12-11,32
2016-12-18,46
2016-12-25,46
2017-01-01,42
2017-01-08,28
2017-01-15,34
2017-01-22,26
2017-01-29,30
2017-02-05,24
2017-02-12,57
2017-02-19,100
2017-02-26,42
2017-03-05,27
2017-03-12,25
2017-03-19,32
2017-03-26,30
2017-04-02,19
2017-04-09,26
2017-04-16,21
2017-04-23,37
2017-04-30,27
2017-05-07,21
2017-05-14,31
2017-05-21,22
2017-05-28,30
2017-06-04,27
2017-06-11,34
2017-06-18,45
2017-06-25,25
2017-07-02,24
2017-07-09,26
2017-07-16,22
2017-07-23,20
2017-07-30,22
2017-08-06,23
2017-08-13,22
2017-08-20,25
2017-08-27,17
2017-09-03,18
2017-09-10,24
2017-09-17,27
2017-09-24,21
2017-10-01,19
2017-10-08,24
2017-10-15,33
2017-10-22,31
2017-10-29,26
2017-11-05,27
2017-11-12,21
2017-11-19,25
2017-11-26,24
2017-12-03,24
2017-12-10,25
2017-12-17,30
2017-12-24,43
2017-12-31,36
2018-01-07,35
2018-01-14,24
2018-01-21,26
2018-01-28,24
2018-02-04,23
2018-02-11,25
2018-02-18,26
2018-02-25,34
2018-03-04,27
2018-03-11,18
2018-03-18,21
2018-03-25,31
2018-04-01,19
2018-04-08,20
2018-04-15,18
2018-04-22,20
2018-04-29,21
2018-05-06,28
2018-05-13,32
2018-05-20,22
2018-05-27,17
2018-06-03,22
2018-06-10,18
2018-06-17,21
2018-06-24,25
2018-07-01,25
2018-07-08,24
2018-07-15,28
2018-07-22,25
2018-07-29,28
2018-08-05,27
2018-08-12,21
2018-08-19,25
2018-08-26,20
2018-09-02,16
2018-09-09,17
2018-09-16,24
2018-09-23,21
2018-09-30,21
2018-10-07,25
2018-10-14,22
2018-10-21,22
2018-10-28,20
2018-11-04,18
2018-11-11,28
2018-11-18,22
2018-11-25,21
2018-12-02,28
2018-12-09,23
2018-12-16,23
2018-12-23,44
2018-12-30,40
2019-01-06,17
2019-01-13,15
2019-01-20,21
2019-01-27,22
2019-02-03,19
2019-02-10,15
2019-02-17,21
2019-02-24,14
2019-03-03,22
2019-03-10,22
2019-03-17,20
2019-03-24,19
2019-03-31,22
2019-04-07,16
2019-04-14,25
2019-04-21,18
2019-04-28,20
2019-05-05,38
2019-05-12,30
2019-05-19,23
2019-05-26,18
2019-06-02,20
2019-06-09,22
2019-06-16,24
2019-06-23,26
2019-06-30,34
2019-07-07,14
2019-07-14,18
2019-07-21,20
2019-07-28,16
2019-08-04,17
2019-08-11,16
2019-08-18,23
2019-08-25,22
2019-09-01,26
2019-09-08,59
2019-09-15,31
2019-09-22,88
2019-09-29,33
2019-10-06,35
2019-10-13,24
2019-10-20,17
2019-10-27,23
2019-11-03,37
2019-11-10,46
2019-11-17,25
2019-11-24,17
2019-12-01,19
2019-12-08,20
2019-12-15,19
2019-12-22,42
2019-12-29,36
2020-01-05,23
2020-01-12,13
2020-01-19,25
2020-01-26,17
2020-02-02,21
2020-02-09,17
2020-02-16,18
2020-02-23,15
2020-03-01,17
2020-03-08,15
2020-03-15,17
2020-03-22,17
2020-03-29,16
2020-04-05,27
2020-04-12,20
2020-04-19,20
2020-04-26,19
2020-05-03,17
2020-05-10,28
2020-05-17,16
2020-05-24,23
2020-05-31,15
2020-06-07,20
2020-06-14,31
2020-06-21,34
2020-06-28,19
2020-07-05,16
2020-07-12,17
2020-07-19,23
2020-07-26,12
2020-08-02,23
2020-08-09,18
2020-08-16,18
2020-08-23,14
2020-08-30,16
2020-09-06,15
2020-09-13,18
2020-09-20,20
2020-09-27,20
2020-10-04,24
2020-10-11,16
2020-10-18,19
2020-10-25,21
2020-11-01,17
2020-11-08,20
2020-11-15,17
2020-11-22,22
2020-11-29,13
2020-12-06,25
2020-12-13,18
2020-12-20,27
2020-12-27,33
2021-01-03,28
2021-01-10,22
2021-01-17,18
2021-01-24,23
2021-01-31,19
2021-02-07,22
2021-02-14,21
2021-02-21,10
2021-02-28,15
2021-03-07,16
2021-03-14,14
2021-03-21,13
2021-03-28,22
2021-04-04,15
2021-04-11,12
2021-04-18,14
2021-04-25,13
2021-05-02,14
2021-05-09,13
2021-05-16,13
2021-05-23,11
2021-05-30,14
2021-06-06,15
2021-06-13,14
2021-06-20,13
2021-06-27,15
2021-07-04,27
